TransactionID,CustomerID,TransactionTimestamp,Amount,Currency,MerchantCategory,TransactionType,CardPresent,HourOfDay,DayOfWeek,GeoLocation,DeviceType,IsInternational,CustomerTenureMonths,NumTransactionsLast24h,AvgTransactionAmount7d,IsNewDevice,IsFraud
TX0000000,CUST3000,2025-04-23T19:10:22,95148.43,INR,Fuel,POS,True,19,Wednesday,"Colemanmouth, DO",POS Terminal,False,117,5,25410.68,False,0
TX0000001,CUST9394,2025-03-08T13:03:05,91473.49,USD,Travel,ATM Withdrawal,True,13,Saturday,"Smithshire, VC",Mobile,False,2,4,17124.17,False,0
TX0000002,CUST8434,2025-05-21T16:03:26,23754.75,INR,Travel,ATM Withdrawal,True,16,Wednesday,"West Kathrynchester, SL",Desktop,False,78,3,1038.73,False,0
TX0000003,CUST2433,2024-08-17T04:50:51,64935.06,INR,Travel,POS,False,4,Saturday,"South Derektown, LI",Mobile,False,116,1,26156.61,False,0
TX0000004,CUST1143,2025-04-04T08:55:51,2672.34,USD,Travel,Online,True,8,Friday,"South Tina, EE",POS Terminal,False,18,5,22085.9,True,0
TX0000005,CUST8702,2025-02-06T09:05:02,61074.04,INR,Entertainment,ATM Withdrawal,False,9,Thursday,"South Elizabethchester, OM",POS Terminal,False,7,3,7463.2,False,0
TX0000006,CUST9968,2025-06-18T05:22:29,51606.2,INR,Entertainment,POS,False,5,Wednesday,"Lake Charlotte, EG",POS Terminal,False,22,3,12487.44,False,0
TX0000007,CUST5814,2025-03-26T06:13:15,30784.87,USD,Apparel,POS,False,6,Wednesday,"East Anthony, BY",Desktop,False,13,5,25967.58,False,0
TX0000008,CUST8522,2025-02-24T14:57:01,25721.93,USD,Grocery,Online,False,14,Monday,"South Timothymouth, IQ",Desktop,False,74,5,17627.0,False,0
TX0000009,CUST9789,2024-10-15T20:50:07,25908.45,INR,Apparel,ATM Withdrawal,True,20,Tuesday,"Browntown, PG",POS Terminal,False,75,4,25752.76,False,0
TX0000010,CUST7428,2025-01-16T03:32:27,18158.21,USD,Restaurant,ATM Withdrawal,True,3,Thursday,"Davisside, DE",Mobile,True,118,0,18739.64,False,0
TX0000011,CUST6152,2025-05-21T08:41:12,51790.17,USD,Electronics,Online,True,8,Wednesday,"Port Rachelland, NZ",POS Terminal,False,110,5,3585.09,False,0
TX0000012,CUST9110,2025-05-13T04:09:35,29573.82,USD,Electronics,POS,False,4,Tuesday,"Reneeport, MX",POS Terminal,False,63,1,2662.7,False,0
TX0000013,CUST5412,2024-08-01T14:01:30,56627.76,INR,Grocery,POS,True,14,Thursday,"Rachelfurt, RW",Desktop,False,47,5,26734.65,False,0
TX0000014,CUST2403,2024-07-19T15:45:24,21136.72,USD,Fuel,Online,False,15,Friday,"Lake Bradley, BF",Desktop,False,22,1,10383.78,False,0
TX0000015,CUST2336,2025-06-03T15:51:26,59180.31,USD,Travel,ATM Withdrawal,True,15,Tuesday,"East Richardville, MD",Desktop,False,42,0,11251.79,False,0
TX0000016,CUST5225,2024-08-31T13:16:36,24553.32,USD,Electronics,ATM Withdrawal,False,13,Saturday,"Port Ruth, IT",Mobile,False,50,3,25444.72,True,0
TX0000017,CUST6280,2025-01-03T04:01:44,14022.03,INR,Restaurant,Online,True,4,Friday,"Yodermouth, RS",Desktop,False,5,5,16644.4,False,0
TX0000018,CUST4858,2024-12-14T09:37:04,89955.73,USD,Grocery,Online,True,9,Saturday,"Fernandezbury, KN",Mobile,False,106,2,18115.07,False,0
TX0000019,CUST6835,2025-01-24T05:59:50,91969.36,USD,Fuel,Online,True,5,Friday,"Leefort, CR",POS Terminal,False,104,5,23158.56,True,0
TX0000020,CUST3214,2024-07-11T14:41:13,6394.29,INR,Electronics,Online,True,14,Thursday,"West Sherri, EC",POS Terminal,False,41,0,2698.74,False,0
TX0000021,CUST4662,2025-03-05T05:51:08,86107.68,INR,Apparel,ATM Withdrawal,True,5,Wednesday,"Tracyborough, IE",Desktop,False,91,5,27039.43,False,0
TX0000022,CUST4561,2025-06-29T13:56:13,61791.31,USD,Fuel,Online,False,13,Sunday,"Swansonview, CR",POS Terminal,False,79,5,5008.46,True,0
TX0000023,CUST4584,2024-10-28T09:57:37,42309.33,INR,Grocery,POS,False,9,Monday,"Joshuaport, BF",Desktop,False,44,2,3288.73,True,0
TX0000024,CUST4726,2024-12-09T15:35:03,23449.37,USD,Travel,ATM Withdrawal,False,15,Monday,"Rubiomouth, VU",POS Terminal,False,41,4,27673.53,False,0
TX0000025,CUST8337,2024-07-18T00:12:50,29467.17,USD,Travel,Online,True,0,Thursday,"Ericbury, CH",POS Terminal,False,4,1,5980.56,False,0
TX0000026,CUST3871,2024-07-04T04:47:43,49859.86,USD,Fuel,Online,False,4,Thursday,"South Bob, YE",Mobile,False,19,2,26692.05,False,0
TX0000027,CUST8534,2025-04-14T07:52:38,62336.03,USD,Entertainment,Online,True,7,Monday,"East Johnstad, RO",Mobile,False,94,5,14547.46,False,0
TX0000028,CUST6621,2024-11-08T15:26:48,79076.53,USD,Restaurant,POS,True,15,Friday,"Melissastad, SV",POS Terminal,False,36,4,5072.6,False,0
TX0000029,CUST7128,2024-08-17T15:20:01,499575.24,INR,Fuel,Online,True,15,Saturday,"West Codymouth, TW",Mobile,True,6,7,11321.59,False,1
TX0000030,CUST6941,2025-02-21T00:51:50,42487.79,INR,Entertainment,POS,True,0,Friday,"Christinemouth, AU",Desktop,False,63,3,12481.43,False,0
TX0000031,CUST7604,2025-03-04T04:04:36,52088.28,INR,Travel,POS,False,4,Tuesday,"Douglasville, BS",Desktop,False,13,0,28959.22,False,0
TX0000032,CUST5031,2024-10-27T07:40:13,65380.3,USD,Apparel,Online,False,7,Sunday,"New Jeffrey, SV",Mobile,False,52,2,19709.42,False,0
TX0000033,CUST3917,2025-04-02T04:59:25,45746.17,INR,Travel,Online,True,4,Wednesday,"Colemanside, SE",Mobile,False,55,0,21079.95,False,0
TX0000034,CUST7075,2025-04-11T12:01:45,139152.3,INR,Electronics,ATM Withdrawal,True,12,Friday,"Rebeccaville, IR",Mobile,False,34,5,6167.89,True,1
TX0000035,CUST2725,2025-01-16T22:42:57,68423.4,INR,Grocery,POS,False,22,Thursday,"New Lauraberg, CH",Desktop,False,76,2,4727.22,False,0
